feature,importance
vedic_spashth_rahu_speed_deg_per_day,0.003958311796663731
venus_cos_alt,0.003920813633251716
weekday,0.00390797972880692
neptune_ecliptic_lat_deg,0.003866605003999314
vedic_budha_right_ascension,0.003808313235132608
venus_ra_hours,0.003773360164766668
sun_cos_alt,0.003730254194456226
venus_cos_az,0.0036941361647911263
sun_cos_az,0.0036854853088608376
uranus_ecliptic_lat_deg,0.003655462453361753
jupiter_sin_az,0.0036514395563794094
spline_displacement,0.003643963659046678
venus_azimuth_deg,0.0035892393535052643
vedic_shukra_right_ascension,0.0035184136747087283
vedic_surya_declination,0.003486741512187219
mercury_cos_az,0.0034552222374285703
saturn_cos_az,0.0034458275907363087
vedic_shukra_speed_deg_per_day,0.003437637034520354
uranus_cos_alt,0.0034290424512519496
nakshatra,0.003424430112807652
mars_cos_alt,0.003416613207177617
vedic_lagna_nakshatra,0.003376629671369592
mercury_cos_alt,0.0033469368378240215
jupiter_azimuth_deg,0.003324576212056196
moon_sin_alt,0.003320967934025721
saturn_cos_alt,0.003306807799016348
moon_altitude_deg,0.0032773615903096565
neptune_cos_alt,0.003253960576873282
vedic_lagna_right_ascension,0.0031755322792234486
mercury_sin_az,0.003132315039525749
vedic_surya_nakshatra,0.003113519868396526
vedic_guru_declination,0.0029365236162006408
mercury_azimuth_deg,0.0028891121803893294
vedic_varun_speed_deg_per_day,0.002863484937231297
sun_sin_az,0.0028408179510694895
uranus_azimuth_deg,0.002813073157766701
uranus_sin_az,0.0027889443328454316
vedic_lagna_declination,0.002774667328631029
vedic_mangal_speed_deg_per_day,0.002771895751687531
uranus_cos_az,0.0027662322600914935
vedic_lagna_full_degree,0.002758924434095367
sun_azimuth_deg,0.002716241453463754
uranus_dec_deg,0.002532594847834655
mars_altitude_deg,0.0025194548845002026
mars_sin_alt,0.002514361276147912
saturn_sin_az,0.002494790483738362
neptune_sin_az,0.0024925883381751494
vedic_shukra_padam,0.0024818796169890516
vedic_budha_nakshatra,0.0024690443534920855
vedic_yam_declination,0.0024646610213516413
vedic_budha_padam,0.0024455149635639116
sunsign,0.0024452605192618808
saturn_ecliptic_lat_deg,0.0024242900510296145
saturn_ra_hours,0.0023638595692496386
venus_altitude_deg,0.0023603870192992486
vedic_shukra_nakshatra,0.0022744456359341703
saturn_azimuth_deg,0.00224203364141864
neptune_azimuth_deg,0.0022313312033844022
mercury_sin_alt,0.0022022045195396536
neptune_cos_az,0.0022012038586083785
vedic_guru_speed_deg_per_day,0.002198731992803006
venus_sin_alt,0.0021825257894940854
jupiter_sin_alt,0.002082968201778059
jupiter_altitude_deg,0.002013059573810883
vedic_yam_right_ascension,0.0020053392317506066
uranus_ecliptic_lon_deg,0.00200058431252399
mercury_altitude_deg,0.0019626205400125035
neptune_dec_deg,0.001937378714306179
uranus_ra_hours,0.0019369392304221238
saturn_sin_alt,0.0019284492631539388
vedic_surya_padam,0.0019192808166888608
saturn_altitude_deg,0.0018513253399206626
vedic_yam_full_degree,0.0018474833026453782
hour_utc,0.0018157012440997325
sun_sin_alt,0.0017920648286796003
vedic_mangal_padam,0.0017802899885722644
neptune_ra_hours,0.0017764995717875379
saturn_ecliptic_lon_deg,0.0017687240803759509
sun_altitude_deg,0.0017643886471211735
vedic_mangal_nakshatra,0.0017513348271520658
vedic_shani_right_ascension,0.0017500052867151308
lunar_node_descending_utc,0.0016471867342205187
neptune_ecliptic_lon_deg,0.001621372133486338
