,count,unique,top,freq,mean,min,25%,50%,75%,max,std
sun_ecliptic_lat_deg,47533.0,,,,-0.00037403789341269704,-0.0025211909027653004,-0.00118763030572816,-0.00037497957989937104,0.00023756018469606914,0.0023796032271702636,0.0009701327824751659
sun_altitude_deg,47533.0,,,,3.2753365281866165,-89.69147553777448,-35.35740510008331,2.488691814583938,41.687915043082235,89.58882194469527,44.036384728504665
sun_azimuth_deg,47533.0,,,,179.38325660862566,0.008298346425852685,91.08206961118812,178.4732483825098,268.18512529588287,359.97424316332,96.47376790939065
sun_sin_alt,47533.0,,,,0.04007963241709464,-0.9999855021735002,-0.5786750289980853,0.04342220929693963,0.6650728572242265,0.9999742496739761,0.6399299925162438
sun_cos_alt,47533.0,,,,0.7291851143339724,0.005384741666279168,0.5719545415627405,0.7841048261543501,0.941367105231132,0.999999999942965,0.23912782159669382
sun_sin_az,47533.0,,,,0.0021103671902849615,-0.9999999968482868,-0.926894656733449,0.010888889975894918,0.9273270805951335,0.9999999924954899,0.8468732385911676
sun_cos_az,47533.0,,,,-0.016178094182287668,-0.9999998746676584,-0.3898005196383448,-0.025903030220564296,0.3550909605802045,0.9999999895116334,0.5315642635046597
moon_ra_hours,47533.0,,,,11.964080168545582,0.00031056738171296363,6.16991320074775,12.003810331435309,17.693822560041266,23.999517537915555,6.845399245172611
moon_dec_deg,47533.0,,,,-0.05239605410803053,-29.55404454815475,-16.846765495368402,-0.09296933336168692,16.850437865833666,29.43709591506206,17.55075907660842
moon_ecliptic_lon_deg,47533.0,,,,180.2075441631886,0.0063039465518715775,93.7447504836473,180.24257971157513,267.17826497129033,359.9975551816412,101.98292707584052
moon_ecliptic_lat_deg,47533.0,,,,-0.07367075758097931,-6.205056765666041,-3.7630079795823,0.012456542243613597,3.584205522500787,6.088339158773164,3.689222469670393
moon_altitude_deg,47533.0,,,,-0.4466687004934722,-89.72481339768069,-37.82119782453402,-0.7821307328897047,36.79745541050023,89.88946963183155,44.04403395351199
moon_azimuth_deg,47533.0,,,,179.86522791549388,0.008623825183146626,89.36844957456863,179.9423194266477,270.43947277929976,359.98668747350115,97.92124202508899
moon_sin_alt,47533.0,,,,-0.007563773687516956,-0.9999884660390458,-0.6131993467969994,-0.013650332519746589,0.5989880362716855,0.9999981392508123,0.6370286531470337
moon_cos_alt,47533.0,,,,0.7311133965112293,0.0019291176514455513,0.5763960195441951,0.7954785934594414,0.9441066935210497,0.9999999993109554,0.24417263866782676
moon_sin_az,47533.0,,,,0.00011496900416720013,-0.9999999946465482,-0.9172621282372807,0.000799775540459327,0.9179223295351945,0.9999999990716709,0.8405673690732628
moon_cos_az,47533.0,,,,0.00424487752012587,-0.9999999985311645,-0.3944174220314456,0.009058748508217637,0.40026017188031116,0.9999999886727463,0.5417097967778989
mercury_ra_hours,47533.0,,,,12.680256032996498,0.0005404112819887719,9.497215298951494,12.338881687285594,16.485966329217387,23.999964776499855,5.632615761776116
mercury_dec_deg,47533.0,,,,-1.870794060973715,-25.83581225066667,-15.961079234215367,-1.3306101662536096,11.080487803496146,25.653736321210562,14.992924793522448
mercury_ecliptic_lon_deg,47533.0,,,,190.27543911060283,0.07090463297940128,140.33792883127694,186.17919498609854,249.27426605981887,359.9972764491109,84.22422009269937
mercury_ecliptic_lat_deg,47533.0,,,,-0.5706306289603064,-4.9708295961125,-2.1372775987934305,-0.503818419016864,1.3485095370074678,3.72225894085238,2.1164279929398733
mercury_altitude_deg,47533.0,,,,2.475791062370697,-89.83336170147163,-36.052274520649995,1.6486209171097943,40.343995178417664,89.36940149797917,44.0511463021157
